City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
340,Lompoc,US,34.64,-120.46,64.99,32,1,4.7,clear sky
341,Acapulco,MX,16.86,-99.89,86.0,70,75,5.82,broken clouds
342,Alta Floresta,BR,-9.88,-56.09,90.99,46,93,4.81,overcast clouds
343,Jos,NG,9.92,8.9,68.18,37,0,4.41,clear sky
344,Kazerun,IR,29.62,51.65,61.79,60,100,5.28,overcast clouds
345,Brattvag,NO,62.6,6.44,44.6,65,20,11.41,few clouds
346,Jalaun,IN,26.15,79.34,64.56,42,0,2.86,clear sky
347,Buala,SB,-8.14,159.59,81.5,75,92,3.58,overcast clouds
348,Waverly,US,42.74,-84.62,45.0,48,1,14.99,clear sky
349,Uruacu,BR,-14.52,-49.14,87.19,50,60,6.17,broken clouds
350,Abu Zabad,SD,12.35,29.25,72.09,22,0,13.0,clear sky
351,Banepa,NP,27.63,85.52,48.2,81,20,2.71,few clouds
352,Grand Gaube,MU,-20.01,57.66,73.99,82,8,7.0,light rain
353,Viedma,AR,-40.81,-63.0,82.0,36,44,3.0,scattered clouds
354,Namibe,AO,-15.2,12.15,72.93,75,97,7.4,overcast clouds
355,Vao,NC,-22.67,167.48,72.19,66,0,12.12,clear sky
356,Henties Bay,NA,-22.12,14.28,61.0,85,0,5.99,clear sky
357,Qaqortoq,GL,60.72,-46.03,33.8,80,75,12.75,light snow
358,Deputatskiy,RU,69.3,139.9,-7.64,92,100,2.91,overcast clouds
359,Ribeira Brava,PT,32.65,-17.07,60.8,55,40,13.87,scattered clouds
360,Todos Santos,MX,23.45,-110.22,78.01,58,3,1.99,clear sky
361,Ambilobe,MG,-13.2,49.05,75.56,78,30,3.6,scattered clouds
362,Makakilo City,US,21.35,-158.09,75.2,73,1,3.36,clear sky
